1458371197314473989;Recreation area Novoaleksandrovo;Recreation area Novoaleksandrovo,Novoaleksandrovo, Moskovskaya oblast', Russia, 141051;55.974070;37.570350
1458303473288630275;Buccaneer Beach;Buccaneer Beach, St Croix 00820, USVI;17.757290;-64.675490
1458228033387642884;Ita beach;Ita beach, 207 Ita, Numazu, 静岡県 410-8601, Japan;35.00073514974780;138.77845934838500
1458227694047580173;Beach Kernevest;16 Rue de Trelian, 56470 Saint-Philibert, France;47.56785253965950;-3.001391985007240
1458139317650423811;Playa Espinillar , Quyquyhó;Playa Espinillar , Quyquyhó, Paraguay;-26.357630787719100;-56.94291205722900
1458070814482391041;Playa De Piedra Del Tormes;37749 El Tejado, Salamanca, Spain;40.45454235810340;-5.518561574775500
1458001669451653124;Baypoint Beach;Baypoint Beach, Washington Township, MI 48306, USA;42.7287346093611;-83.09116806536120
1457934969347653637;Petit Port Beach;Petit Port Beach, Jersey JE3 8NP, Jersey;49.18540177327510;-2.234101745320810
1457874217668694020;Fleswick Bay;Fleswick Bay, St Bees, Whitehaven, UK;54.50446097933010;-3.6321821254783900
1457821772317855745;Water Front Beach;3FPF+HPQ, Entebbe, Uganda;0.08647805207586990;32.47435706172430
1457821512493375488;Subida Alta - Muelle;Subida Alta - Muelle, Isla Puná, Ecuador;-2.830154;-80.2543405
1457821020799307779;Katukurunda Beach;Unnamed Road, Kalutara, Sri Lanka;6.5853948;79.96074
1457820451955167238;876 Beach Club;Highway A1, Mountain Spring, Summerfield, Jamaica;18.109581;-77.297508
1457815966809837570;Khu Du Lịch Tắm Biển Cồn Nhàn;Unnamed Rd,, Bảo Thuận, Ba Tri, Bến Tre, Vietnam;10.0191922;106.6724882
1457809523482243077;Lambouka Beach;Lambouka Beach, Mrezga, Tunisia;36.421045;10.6733572
1457805409918480386;Medlands Beach;Medlands Beach, Tasman 7183, New Zealand;-40.9208204;173.0548238
1457790224969265160;Abu Dhabi Beach;Abu Dhabi Beach - Al Hisn - Abu Dhabi - United Arab Emirates;24.4856516;54.34774
1457774988186898444;Nabben Bathing;Nabben Bathing, Mariehamn 22100, Åland Islands;60.1146289;19.9555653
1457760673119809536;Mini Cox's Bazar;Mini Cox's Bazar, Shahpur Rd, Bangladesh;23.8822153;91.1255293
1457759876256571405;Bahrain Bay Beach;Bahrain Bay Beach, Manama, Bahrain;26.2575397;50.58121500000000
1457744970954252292;Plaj;PWFX+788, Kichi-Uryukty, Kyrgyzstan;42.7231625;77.9483281
1457739907544371203;Plage publique de Rohotu;Plage publique de Rohotu, Paea, French Polynesia;-17.7060268;-149.5845511
1457729683777282052;HaKshatot Beach;HaKshatot Beach, Israel;31.80056;34.6326563
1457725248338632710;Plaża Bellano;Plaża Bellano, 23822 Bellano, Province of Lecco, Italy;46.0416983;9.2982402
1457714575705509890;One Dollar Beach;One Dollar Beach, Timor-Leste;-8.4773064;125.8474224
1457705026592313344;Pasir Ris Beach;Pasir Ris Beach, Singapore;1.385;103.9455556
1457684432161288202;Kanegra Beach;Kanegra Beach, 52460, Croatia;45.4830769;13.5702668
1457669452951166978;Otūmoetai Beach;Otūmoetai Beach, Bay of Plenty 3110, New Zealand;-37.65936;176.12693
1457654690632568836;Mauá beach;Porto Mauá - RS, 98947-000, Brazil;-27.5752402;-54.6682758
1457639249809920000;Honeymoon Beach;Honeymoon Beach, St Thomas 00802, USVI;18.3141992;-64.9608105
1457624210973630470;Reef Bay Beach;Reef Bay Beach, St John 00830, USVI;18.3168993;-64.7568039
1457619141846839300;Dania Beach;N Beach Rd, Hollywood, FL 33019, USA;26.0542827;-80.1126164
1457606772907298816;San Juan Beach;San Juan Beach, Saipan 96950, CNMI;15.2257619;145.7898888
1457593796405956608;Kotas Beach;8C66+278, Hasanpur, West Bengal 742135, India;24.3100375;88.41070310000000
1457578783444111361;Boca Catalina Beach;Boca Catalina Beach, Aruba;12.6044163;-70.0515236
1457578700338339841;Tamba Kuruba Beach Lodge;Kombo Coastal Rd, The Gambia;13.1975845;-16.7583336
